18.29479, 462
14.96483, 181
17.86814, 418
12.85328, 196
14.20078, 200
34.32832, 230
26.51132, 243
20.25875, 231
18.65786, 462
15.28238, 99
11.43182, 96
12.47495, 102
13.18255, 85
45.18861, 727
29.04926, 332
16.13135, 527
16.26266, 339
31.57375, 362
21.97733, 277
19.37256, 222
22.66552, 267
14.99225, 277
19.6472, 305
13.43383, 88
3.33362, 47
4.61544, 58
41.62177, 664
26.09929, 340
20.21761, 517
12.43733, 294
39.38216, 379
24.26431, 299
14.08063, 237
13.27457, 240
10.81842, 248
16.4578, 277
42.17859, 248
20.39974, 254
14.79954, 250
13.10948, 88
5.00375, 47
54.21615, 59
7.3161, 58
5.62587, 58
22.76351, 2
30.79096, 414
22.52935, 492
16.85196, 237
21.57812, 264
14.10237, 87
4.61679, 47
28.89928, 523
5.50237, 46
23.28958, 317
23.13672, 269
27.66433, 385
24.40519, 417
22.52114, 303
15.93782, 282
